"Taxon"	"BCD1"	"BCD2"	"BCP1"	"BCP2"	"BD1"	"BD4"	"BP1"	"BP4"	"CD1"	"CD2"	"CD3"	"CD4"	"CD5"	"CD8"	"CP1"	"CP2"	"CP3"	"CP4"	"CP5"	"CP8"
"Bacteria;Acidobacteria;Acidobacteria_Gp3;Gp3;Other;Other"	0	0	0	0	0	0	0	0	0	"4.40664522099e-05"	0	0	0	0	0	0	0	0	0	0
"Bacteria;Acidobacteria;Acidobacteria_Gp7;Gp7;Other;Other"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"3.91343482174e-05"	0	0	0
"Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Brevibacteriaceae;Brevibacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1.71644352901e-05"	0	0	0	0	0
"Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001749399	"1.71644352901e-05"	0	0	0	0	0.0007049047
"Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Mycobacteriaceae;Mycobacterium"	0	0	0	0	0	0	0	0	"3.53907134768e-05"	"4.40664522099e-05"	0	0	0	0	0	0	0	0	0	0
"Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Other;Other"	0	0	0	0	0	0	0	0	0	0	0	0	0	"4.37349661054e-05"	0	0	0	0	0	"7.42004897232e-05"
"Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Promicromonosporaceae;Cellulosimicrobium"	0	0	0	0	0	0	0	0	"3.53907134768e-05"	0	0	0	0	0	0	0	0	0	0	0
"Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;Asaccharobacter"	0.0012540757	0	0.0009943817	0	0	0	0	0	"3.53907134768e-05"	"4.40664522099e-05"	"5.34330750735e-05"	"2.33852485852e-05"	0.000427899	"4.37349661054e-05"	"5.14933058702e-05"	0	0.000117403	0	"8.11754200828e-05"	"7.42004897232e-05"
"Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;Enterorhabdus"	0.0001254076	0	0	0	0	0	0	0	0	"4.40664522099e-05"	0.0001602992	"4.67704971704e-05"	0	"4.37349661054e-05"	0.0001544799	"8.32431532506e-05"	0.0001565374	0.0001273345	0	0.000296802
"Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;Olsenella"	0	0	"4.97190871576e-05"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;Other"	0.0005016303	0	0.0006960672	0	0	0	0	0	0.0003185164	0.0002203323	0.0005343308	0.0023385249	0.000142633	0.0002624098	0.0007037418	0.0005410805	0.0006652839	0.001655348	0	0.0004452029
"Bacteria;Actinobacteria;Actinobacteria;Other;Other;Other"	0	0	0	0	0	0.0049261084	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides"	0.0021319288	0.003003003	0.0006463481	0	0	0	0	0	0.1287868063	0.0757502313	0.1107133316	0.0023619101	0.0396519755	0.0181937459	0.0621867491	0.0143178224	0.0253590576	0.0021222411	0.0139621723	0.0016324108
"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Other;Other"	0.1141208929	0.0840840841	0.0855168299	0.0717703349	0.1031390135	0.1231527094	0.1728395062	0.1693548387	0.0258352208	0.0449477813	0.0388458456	0.0630232449	0.0296676651	0.0209490488	0.0081187779	0.0130691751	0.0056744805	0.0311120543	0.0099034013	0.0115010759
"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Barnesiella"	0.0224479559	0.021021021	0.0143688162	0	0	0.0246305419	0.012345679	0	0.0488037939	0.0117216763	0.0258616083	0.020415322	0.0039937241	0.0065165099	0.0050635084	0.0020394573	0.0027785387	0.0129881154	0.0004058771	0.0015582103
"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Odoribacter"	0.0001254076	0	"9.94381743151e-05"	0	0	0	0	0	0.001734145	0.0006609968	0.0009083623	0	0	0	0.0011328527	0.000291351	0.0007435526	0	0	0
"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Other"	0.4657637321	0.4774774775	0.3715507383	0.3301435407	0.399103139	0.3054187192	0.3518518519	0.3387096774	0.0685164213	0.1861366941	0.1528720278	0.1354473598	0.0405077735	0.2516947299	0.0159629248	0.0492383251	0.031464016	0.0915534805	0.0076304895	0.1367886028
